obs,price,WinterRain,temp,HarvestRain,Age
1952,1799.02476301641,600,17.1167,160,31
1953,3100.44211684832,690,16.7333,80,30
1954,NA,NA,NA,NA,NA
1955,2177.21104309563,502,17.15,130,28
1956,NA,NA,NA,NA,NA
1957,1079.76639826584,420,16.1333,110,26
1958,877.607977327662,582,16.4167,187,25
1959,3215.3773408582,485,17.4833,187,24
1960,677.764578911982,763,16.4167,290,23
1961,4883.90311868927,830,17.3333,38,22
1962,1616.46993594476,697,16.3,52,21
1963,822.789172918115,608,15.7167,155,20
1964,1494.28035011153,402,17.2667,96,19
1965,518.946086889372,602,15.3667,267,18
1966,2308.37709121824,819,16.5333,86,17
1967,934.302254511626,714,16.2333,118,16
1968,514.656660114885,610,16.2,292,15
1969,570.150293527538,575,16.55,244,14
1970,1974.95323528571,622,16.6667,89,13
1971,1330.61962846065,551,16.7667,112,12
1972,495.169436001745,536,14.9833,158,11
1973,762.574340051886,376,17.0667,123,10
1974,541.368394941715,574,16.3,184,9
1975,1468.50476988651,572,16.95,171,8
1976,1237.81127578077,418,17.65,247,7
1977,522.539196862056,821,15.5833,87,6
1978,1320.80938587663,763,15.8167,51,5
1979,1047.43542050402,717,16.1667,122,4
1980,663.746300497818,578,16,74,3
